x	y
51.2038911373	83.3397766053
58.9744699018	85.499817612
51.8720726696	85.8297376348
48.1799307865	85.0451167372
41.6832004024	84.0179406019
37.8904155015	82.5674929978
39.5489736947	80.812601774
39.6495738769	82.6645338713
34.7505970472	80.0110909897
27.560835291	72.8478255927
24.6355399754	71.6107148256
20.9594648125	66.0414983826
20.6891490538	62.7213052064
19.2882047369	62.0630593582
20.0245005746	61.3426238695
35.4695229971	43.1158849517
36.8943276507	47.7065559687
39.0555497751	55.5469737131
46.9570801494	65.2404073935
37.3104527352	45.2587508999
40.0096720019	60.9865825077
48.0143866846	65.7128195934
53.7037759268	66.3894820363
63.0674998921	64.0350004581
62.0480325076	63.8458632494
59.8399667124	64.4767644437
55.1609418175	65.2373081694
61.2797865792	65.766402504
60.8349175348	64.6037697063
61.5205906458	64.7918550418
36.916543863	41.0952474383
38.5021996714	41.5671556174
48.6643707344	30.6806668519
50.2852524042	30.3379221051
42.276332666	34.5276361236
54.0317756204	29.6723483149
37.3293552552	39.6020423074
41.389522551	37.2960562328
40.0746666572	34.6236852027
35.3496806211	47.1410731332
34.7637004189	47.6247999245
37.0266294472	44.4622930512
36.4555695327	40.791843032
35.5376642131	48.7293868661
20.4089478892	32.2030304205
23.4957104659	25.3224681542
29.5575433634	21.3647774591
33.0082339121	15.9850714584
53.9803991821	29.3509867092
52.2343086004	29.7116729865
59.5030766063	30.6696739448
41.1637810689	34.3157582514
48.9930401201	32.0303588363
59.2692803248	29.6407017654
45.4691770035	33.8311927323
62.6912665406	30.2903738312
73.4286708654	48.5778551303
70.846426107	52.282253331
71.5390198495	45.5218061588
67.6208658884	38.0065584658
72.4709525633	51.1221348241
64.8122375621	62.8109155873
60.8536798727	65.4991470327
67.7894961571	61.3637015467
41.6095572691	83.8486865559
53.0030253202	84.6747986012
54.7141710591	84.0431280734
44.2916687157	82.9094412144
49.1917219555	85.8762291224
53.1013817819	84.5476586881
51.599848153	84.8198214898
54.3797219484	84.2403555494
46.4807681047	83.518211666
53.174656268	84.2605679876
45.272002941	85.2370794195
36.03340215	53.371687755
28.2711941653	72.840231257
25.0548060847	71.5485979221
64.7588870014	82.3152236405
63.1445274767	85.2366963264
50.4246786898	85.1747475891
70.6449962629	82.4309187567
63.1490490834	83.9468553485
62.8240245172	84.9661859507
70.236869515	82.1711510621
70.0427352449	80.3850213547
72.5706234458	80.9712184346
75.1307160373	79.9840931403
83.2939057345	70.7784317876
79.6642622775	73.9323097157
88.4321025254	64.6242470023
89.1155590082	64.0015066388
89.0921976305	57.768193047
91.7260057727	52.6233532573
91.7355387598	48.9702108877
91.5078881747	53.3126520851
88.239001904	31.4774348786
88.5305192041	30.4760310098
55.3651603364	30.4458502777
62.5602588694	30.4471356661
58.0066691227	30.2537212987
55.0671179917	29.0115351997
61.6147759612	29.9943911942
68.5431435378	35.6578321706
77.7061096487	20.3042601852
68.4530459999	13.0355285908
68.2572064402	12.3846391542
70.2554746739	13.2503849689
65.0443252778	11.0008414785
60.0922466078	11.8721117093
52.9920289667	9.90666848335
50.1446289773	12.2115430946
46.5086141932	11.2071344881
43.8070319612	11.3189448865
57.8178546865	10.9451424306
50.9404926595	9.69154713447
63.4973230835	11.9140691707
50.0164829541	11.9338520864
58.6367650809	11.9747210652
54.7302890863	11.4128826732
65.8755478023	11.7324363627
57.0609827131	9.92056085444
46.819907946	10.4946526804
38.3593948725	13.431322624
47.3154157773	12.853451784
55.0519165396	11.9499886181
50.5159602579	9.76559162187
49.6774146514	10.3831325083
67.2806595188	14.1286515323
66.1730182606	12.0379170217
61.0885441374	10.0845344144
66.0530857731	13.3802260073
72.6699892655	15.2342259409
61.503472503	10.8284144754
68.995028632	13.9943105293
78.2499161658	17.8832409068
36.4819805699	15.1627600944
50.9677483784	29.6797742875
91.1910536059	46.6743428399
55.8637684939	85.3364867573
49.2805947987	84.0488228306
43.3685015447	84.3321772039
